kabupaten,tahun,luas_panen_ha,produktivitas_ku_ha,produktivitas_ton_ha,produksi_ton,suhu_mean,suhu_max_mean,suhu_min_mean,n_hari_panas,n_hari_dingin,hujan_total,hujan_mean_harian,n_hari_hujan,n_hari_kering,n_hari_ekstrim,hujan_max_harian,n_run2_hujan_ekstrim,n_run3_hujan_ekstrim,maks_run_hujan_ekstrim,n_run3_kering,n_run7_kering,maks_run_kering,et0_total,et0_mean,neraca_air,radiasi_mean,rh_max_mean,rh_min_mean,angin_max_mean,n_hari_angin_kencang,label_hist
Kota Probolinggo,2019,1402.28,51.1,5.11,7165.2,27.632328767123287,31.399452054794523,24.96219178082192,9,0,1551.3,4.25013698630137,144,221,3,70.3,1,0,2,10,6,28,1975.3,5.411780821917808,-423.9999999999998,21.228657534246576,84.58356164383562,56.41643835616439,23.50109589041096,9,0
Kota Pasuruan,2019,2055.26,52.57,5.257,10804.71,27.74876712328767,32.0282191780822,23.886301369863013,3,2,1489.7,4.081369863013699,141,224,2,63.3,0,0,1,10,7,33,1753.48,4.804054794520548,-263.78,21.93345205479452,93.52054794520548,54.97260273972603,14.975342465753425,0,0
Kota Mojokerto,2019,700.9300000000001,50.87,5.087,3565.88,27.92904109589041,33.66465753424658,23.733150684931505,100,1,1635.1,4.479726027397261,151,214,1,60.8,0,0,1,9,6,56,1748.11,4.789342465753425,-113.00999999999976,20.536986301369865,91.26301369863012,46.53972602739726,14.532328767123287,0,0
Kota Madiun,2019,1302.2800000000002,63.42,6.3420000000000005,8259.39,27.508767123287672,33.066849315068495,23.526027397260275,82,2,1635.7000000000005,4.4813698630137,153,212,1,134.2,0,0,1,12,8,33,1825.18,5.000493150684931,-189.4799999999996,20.34605479452055,88.03287671232877,48.47123287671233,17.96794520547945,0,2
Kota Surabaya,2019,1724.45,55.65,5.565,9596.78,27.813424657534245,31.13205479452055,24.4827397260274,6,0,1415.6,3.8783561643835616,150,215,1,63.8,0,0,1,7,4,56,1771.15,4.852465753424657,-355.5500000000002,21.115178082191782,91.9945205479452,56.654794520547945,17.462739726027397,0,1
Kota Batu,2019,791.96,63.53,6.353,5031.1,21.78958904109589,26.09808219178082,18.74986301369863,0,311,3898.3,10.68027397260274,219,146,18,246.2,3,0,2,15,7,43,1355.16,3.712767123287672,2543.1400000000003,19.04819178082192,97.7945205479452,61.76438356164383,11.024931506849317,0,0
Pacitan,2020,19292.31,43.51,4.351,83940.9,26.3224043715847,28.93879781420765,24.33852459016393,0,0,2266.6000000000004,6.192896174863389,243,123,5,69.3,0,0,1,23,9,53,1298.9299999999998,3.548989071038251,967.6700000000004,17.7351912568306,94.50273224043715,75.01092896174863,15.91639344262295,0,0
Ponorogo,2020,65073.25,57.99,5.799,377333.2,27.248087431693992,31.619125683060112,24.089890710382512,5,0,1867.1,5.10136612021858,204,162,1,63.1,0,0,1,22,11,31,1602.2,4.377595628415301,264.9000000000001,18.540355191256836,90.53825136612022,57.77595628415301,18.44207650273224,0,1
Trenggalek,2020,19630.82,55.24,5.524,108445.62,25.59590163934426,28.766939890710383,23.279781420765023,0,4,2433.8,6.649726775956284,294,72,3,105.6,1,0,2,29,14,31,1210.51,3.3074043715846995,1223.2900000000002,16.572322404371587,96.43989071038251,73.06830601092896,13.128142076502732,0,1
Tulungagung,2020,36689.03,58.44,5.843999999999999,214398.13,26.12650273224044,30.00956284153005,23.358469945355196,0,4,2586.0,7.065573770491803,290,76,2,92.9,0,0,1,25,15,34,1312.54,3.586174863387978,1273.46,17.165464480874316,96.77322404371584,66.39071038251366,12.776229508196725,0,1
Blitar,2020,34794.97,56.57,5.657,196847.53,25.26174863387978,29.131693989071035,22.341256830601097,0,18,2728.2,7.454098360655737,250,116,5,129.2,1,0,2,23,10,38,1322.84,3.6143169398907102,1405.36,17.764289617486337,96.58743169398907,68.5327868852459,15.623497267759562,0,0
Kediri,2020,36363.62,59.38,5.938000000000001,215913.41,26.062021857923494,29.701639344262293,23.714207650273227,0,0,3751.2,10.249180327868851,243,123,11,89.5,1,0,2,20,8,55,1427.56,3.900437158469945,2323.6400000000003,18.290300546448087,93.84699453551912,66.57103825136612,16.422950819672135,0,2
